x,y,z
4.93,9.2277,51.67
4.98,9.2217,49.1
5.04,9.171,46.48
5.11,9.0745,43.85
5.18,8.9753,41.41
5.25,8.8675,38.97
5.32,8.7709,36.51
5.4,8.6402,34.0
5.48,8.4448,31.52
5.56,8.2949,29.06
5.65,8.11,26.38
5.74,8.0348,23.71
5.82,8.0009,21.26
5.9,8.0019,18.77
5.98,7.9768,16.27
6.05,8.0012,13.8
6.13,7.9986,11.37
6.21,7.9975,8.93
6.29,7.971,6.33
6.37,7.9794,3.8
6.46,7.9954,1.2
6.47,7.9781,0.86
6.47,7.9749,0.86
6.47,7.9767,0.86
6.47,7.971,0.86
6.47,7.9751,0.86
6.47,7.99,0.86
6.47,7.9725,0.86
6.47,7.981,0.86
6.48,7.9808,0.86
6.62,7.9769,0.87
6.91,7.9993,0.89
7.39,7.9842,0.89
8.01,7.9694,0.84
8.82,7.9868,0.76
9.81,7.9918,0.68
10.91,7.9783,0.66
11.36,7.9742,0.67
11.36,7.9698,0.67
11.36,8.0003,0.67
11.36,7.9868,0.67
11.36,7.9777,0.67
11.36,8.0016,0.67
11.36,7.9945,0.67
11.36,7.9858,0.67
11.36,7.982,0.67
11.36,7.9735,0.67
11.36,7.9681,0.67
11.37,7.9826,0.69
11.39,7.9784,0.87
11.41,7.9902,1.21
11.4,7.9898,1.72
11.33,7.9995,2.44
11.23,7.9832,3.33
11.13,8.002,4.41
11.08,7.9894,5.57
11.11,7.9842,6.93
11.21,7.9959,8.48
11.32,7.9765,10.21
11.43,7.9784,12.12
11.48,7.9935,14.2
11.44,7.9675,16.38
11.36,7.9954,18.68
11.27,8.0048,21.34
11.19,8.1596,23.99
11.09,8.448,26.6
10.98,8.9076,29.17
10.86,9.4362,31.73
10.76,9.8767,34.3
10.69,10.2409,36.71
10.65,10.4932,39.15
10.63,10.7358,41.79
10.6,10.9758,44.42
10.6,11.1794,47.02
10.62,11.3246,49.65
10.67,11.422,52.29
10.75,11.4273,54.98
10.84,11.4114,57.41
10.94,11.4029,59.9
11.05,11.3467,62.58
11.16,11.3373,65.14
11.27,11.2887,67.72
11.38,11.2654,70.27
11.49,11.2186,72.8
11.61,11.1601,75.34
11.74,11.087,77.9
11.88,10.9935,80.49
12.02,10.8573,83.08
12.08,10.6385,85.64
12.07,10.3978,88.17
12.03,10.1903,90.68
11.98,10.0222,93.2
11.92,9.8859,95.7
11.85,9.7549,98.17
11.77,9.6916,100.64
11.69,9.6285,103.07
11.58,9.5729,105.74
11.47,9.5615,108.4
11.35,9.6063,111.03
11.23,9.6256,113.67
11.11,9.6319,116.31
11.0,9.6535,118.9
10.89,9.6161,121.51
10.78,9.6049,124.14
10.68,9.4993,126.76
10.6,9.4491,129.19
10.51,9.3329,131.83
10.42,9.228,134.49
10.33,9.1421,137.11
10.23,9.0714,139.7
10.14,8.9971,142.32
10.05,8.9014,144.93
9.96,8.7526,147.52
9.88,8.6236,150.15
9.79,8.5182,152.76
9.7,8.4323,155.38
9.61,8.3968,157.99
9.51,8.3668,160.56
9.42,8.3937,163.1
9.33,8.3915,165.64
9.24,8.389,168.16
9.15,8.3601,170.7
9.06,8.3113,173.25
8.97,8.2674,175.79
8.88,8.3422,178.33
8.79,8.467,180.8
8.7,8.6836,183.22
8.59,9.0222,185.79
8.48,9.4337,188.29
8.36,9.8191,190.75
8.23,10.2757,193.17
8.11,10.6857,195.59
7.99,11.1115,198.18
7.88,11.4725,200.77
7.81,11.7429,203.2
7.77,11.9226,205.65
7.77,12.0624,208.16
7.8,12.1348,210.71
7.88,12.034,213.32
8.01,11.8798,215.93
8.17,11.6777,218.37
8.36,11.3341,220.84
8.53,10.9524,223.32
8.61,10.505,225.83
8.56,9.9932,228.34
8.43,9.4724,230.84
8.27,9.0867,233.35
8.13,8.8216,235.81
8.06,8.6496,238.27
8.08,8.5525,240.89
8.11,8.5088,243.49
8.13,8.4387,246.07
8.16,8.4339,248.63
8.19,8.4098,251.19
8.21,8.4006,253.72
8.24,8.4036,256.26
8.27,8.3973,258.79
8.29,8.3954,261.33
8.32,8.4032,263.84
8.34,8.4167,266.33
8.37,8.4046,268.79
8.39,8.3871,271.25
8.42,8.4146,273.7
8.45,8.4081,276.33
8.47,8.3821,278.92
8.5,8.4021,281.49
8.53,8.3963,284.03
8.55,8.3703,286.54
8.58,8.399,288.98
8.6,8.3949,291.43
8.63,8.3901,294.02
8.66,8.3581,296.63
8.68,8.3652,299.23
8.69,8.3609,299.76
8.69,8.3682,299.76
8.69,8.3626,299.76
8.69,8.3699,299.76
8.69,8.3862,299.76
8.69,8.3608,299.76
8.69,8.3577,299.76
8.69,8.3813,299.76
8.7,8.3525,299.76
8.83,8.3643,299.75
9.12,8.3817,299.74
9.59,8.3617,299.74
10.21,8.3695,299.78
10.98,8.3769,299.84
11.92,8.3604,299.91
13.04,8.3915,299.93
13.47,8.3681,299.92
13.47,8.3684,299.92
13.47,8.3687,299.92
13.47,8.3652,299.92
13.47,8.3951,299.92
13.47,8.3921,299.92
13.47,8.3649,299.92
13.47,8.3951,299.92
13.47,8.3923,299.92
13.47,8.3886,299.92
13.47,8.3783,299.92
13.47,8.3913,299.92
13.47,8.3802,299.88
13.46,8.3887,299.68
13.44,8.3882,299.29
13.42,8.3728,298.74
13.38,8.3919,298.02
13.34,8.3849,297.1
13.29,8.3992,296.03
13.23,8.3673,294.78
13.16,8.3733,293.34
13.08,8.37,291.73
13.0,8.4013,289.92
12.9,8.3893,287.93
12.8,8.3817,285.75
12.69,8.3789,283.4
12.57,8.4085,280.88
12.44,8.4089,278.23
12.32,8.4113,275.62
12.19,8.396,272.96
12.07,8.4161,270.29
11.94,8.4103,267.65
11.83,8.4033,265.22
11.71,8.3941,262.76
11.59,8.4226,260.31
11.48,8.4164,257.85
11.36,8.4152,255.41
11.24,8.4109,252.94
11.13,8.4577,250.47
11.01,8.4946,248.05
10.89,8.5482,245.61
10.77,8.6273,243.18
10.66,8.7098,240.74
10.52,8.8885,238.08
10.38,9.1387,235.44
10.22,9.5123,232.83
10.06,9.9939,230.23
9.99,10.5209,227.78
10.01,11.104,225.25
10.04,11.6877,222.77
10.1,12.2142,220.22
10.16,12.636,217.82
10.24,13.0024,215.37
10.39,13.2982,212.87
10.58,13.4473,210.26
10.8,13.5162,207.66
10.96,13.3884,205.02
11.04,13.034,202.36
11.04,12.5723,199.71
11.05,12.0715,197.31
11.1,11.5415,194.91
11.14,10.9347,192.49
11.18,10.3743,190.12
11.22,9.7872,187.47
11.25,9.2733,184.83
11.26,8.8711,182.43
11.26,8.5439,180.01
11.26,8.3368,177.36
11.25,8.27,174.73
11.24,8.3031,172.14
11.23,8.3671,169.57
11.22,8.378,167.0
11.21,8.3726,164.42
11.21,8.3944,161.84
11.2,8.4498,159.26
11.19,8.4953,156.72
11.17,8.6107,154.2
11.15,8.7545,151.69
11.13,8.9052,149.16
11.12,9.011,146.67
11.11,9.122,144.16
11.1,9.2074,141.6
11.1,9.2951,139.06
11.1,9.3516,136.54
11.1,9.4205,134.0
11.1,9.4934,131.47
11.09,9.545,128.97
11.09,9.6182,126.46
11.1,9.6668,123.95
11.11,9.6764,121.42
11.13,9.6518,118.87
11.15,9.6487,116.33
11.17,9.6087,113.78
11.2,9.5486,111.22
11.23,9.5,108.69
11.25,9.4878,106.09
11.27,9.473,103.53
11.27,9.4945,100.98
11.27,9.5503,98.44
11.26,9.6239,95.95
11.25,9.735,93.45
11.22,9.8403,90.98
11.19,10.0102,88.51
11.14,10.1679,86.03
11.09,10.3655,83.59
11.05,10.522,81.15
11.01,10.6561,78.67
10.99,10.782,76.16
10.97,10.9009,73.68
10.96,11.0028,71.16
10.95,11.0931,68.61
10.95,11.1798,66.07
10.94,11.2905,63.49
10.94,11.3556,61.0
10.94,11.4551,58.54
10.94,11.514,56.07
10.96,11.5386,53.61
10.99,11.5423,51.1
11.06,11.5065,48.52
11.16,11.3551,45.93
11.28,11.1878,43.34
11.42,11.0036,40.78
11.57,10.7712,38.25
11.73,10.4622,35.6
11.87,9.9944,33.0
11.94,9.4085,30.42
11.91,8.8422,28.08
11.81,8.355,25.48
11.69,8.0792,22.89
11.57,8.0082,20.3
11.44,7.995,17.69
11.32,8.0002,15.19
11.2,7.9921,12.73
11.08,7.9878,10.3
10.95,7.9732,7.82
10.83,7.9846,5.33
10.71,7.9752,2.88
10.61,7.9909,0.86
10.61,7.9927,0.86
10.61,7.9988,0.86
10.61,7.9889,0.86
10.61,7.989,0.86
10.61,7.9694,0.86
10.61,7.9929,0.86
10.61,7.9685,0.86
10.61,7.9834,0.86
10.65,7.9733,0.86
10.86,7.985,0.86
11.24,7.985,0.87
11.8,7.9802,0.87
12.55,7.9702,0.88
13.48,7.9919,0.9
14.5,7.9783,0.91
15.77,7.9853,0.93
17.13,7.9971,0.94
17.28,7.9837,0.95
17.28,8.0019,0.95
17.28,7.982,0.95
17.28,7.9759,0.95
17.28,7.9726,0.95
17.28,7.9905,0.95
17.28,7.9712,0.95
17.28,7.9916,0.95
17.28,7.9731,0.95
17.27,7.9765,1.04
17.23,7.9736,1.3
17.22,7.9855,1.76
17.28,7.9963,2.41
17.4,7.9707,3.23
17.54,7.9879,4.23
17.61,7.9807,5.41
17.57,7.9912,6.75
17.42,7.9888,8.17
17.18,7.9747,9.86
16.98,7.9735,11.58
16.87,8.0014,13.53
16.93,7.9824,15.79
17.1,7.9985,17.99
17.31,8.0933,20.61
17.5,8.3222,23.03
17.61,8.895,25.68
17.54,9.6808,28.05
17.32,10.748,30.52
17.05,11.6656,32.91
16.88,12.3938,35.2
16.94,13.0481,37.78
17.18,13.578,40.25
17.43,14.0981,42.78
17.61,14.5128,45.32
17.67,14.8186,47.89
17.63,14.958,50.43
17.58,14.9985,53.01
17.56,14.9562,55.6
17.57,14.8714,58.25
17.58,14.782,60.81
17.58,14.7077,63.35
17.57,14.6709,65.87
17.56,14.635,68.43
17.55,14.616,71.09
17.54,14.5594,73.74
17.55,14.4721,76.37
17.58,14.3336,79.01
17.65,14.1255,81.45
17.76,13.86,84.14
17.88,13.575,86.63
18.0,13.3159,89.08
18.12,13.0248,91.62
18.22,12.8003,94.1
18.32,12.5503,96.79
18.39,12.3959,99.46
18.44,12.2451,102.12
18.47,12.1467,104.78
18.49,12.1232,107.3
18.49,12.0801,109.8
18.49,12.0912,112.46
18.47,12.0985,115.14
18.46,12.1112,117.78
18.44,12.1648,120.43
18.43,12.1613,123.11
18.42,12.1925,125.6
18.41,12.2009,128.1
18.41,12.1758,130.64
18.42,12.1215,133.21
18.44,12.0804,135.9
18.46,11.9878,138.5
18.5,11.9024,141.13
18.54,11.8117,143.75
18.61,11.6328,146.39
18.7,11.3841,148.85
18.83,11.112,151.37
18.99,10.73,153.89
19.16,10.3037,156.4
19.26,9.8243,158.89
19.24,9.3639,161.39
19.11,8.9573,163.9
18.92,8.6442,166.38
18.72,8.4465,168.88
18.55,8.3656,171.35
18.49,8.3971,173.79
18.54,8.6104,176.46
18.59,9.0315,178.94
18.62,9.5603,181.34
18.63,10.2755,183.84
18.63,11.0324,186.26
18.61,11.8572,188.64
18.59,12.6975,191.03
18.59,13.4895,193.4
18.6,14.2751,195.82
18.66,14.8579,198.3
18.76,15.3014,200.83
18.91,15.6001,203.25
19.08,15.7672,205.91
19.25,15.9053,208.53
19.32,15.945,210.98
19.3,15.9442,213.42
19.24,15.8704,215.85
19.2,15.7222,218.33
19.18,15.39,220.83
19.21,14.8692,223.39
19.27,14.1998,225.79
19.38,13.4377,228.18
19.5,12.5622,230.59
19.64,11.6502,233.0
19.75,10.8456,235.43
19.77,10.1352,237.86
19.75,9.6116,240.24
19.7,9.2253,242.81
19.65,8.974,245.33
19.59,8.7653,247.82
19.53,8.6481,250.3
19.47,8.5347,252.75
19.41,8.4621,255.4
19.35,8.4342,258.02
19.29,8.4277,260.61
19.22,8.4147,263.17
19.16,8.4065,265.72
19.1,8.4317,268.27
19.04,8.4235,270.79
18.98,8.3947,273.29
18.92,8.4147,275.76
18.86,8.3978,278.24
18.8,8.396,280.87
18.74,8.3886,283.32
18.67,8.4002,285.92
18.61,8.4014,288.42
18.55,8.3788,290.91
18.49,8.3921,293.38
18.43,8.3722,295.87
18.4,8.3897,297.16
18.4,8.3704,297.16
18.4,8.387,297.16
18.4,8.3751,297.16
18.4,8.3819,297.16
18.4,8.3972,297.16
18.4,8.4039,297.16
18.4,8.3822,297.16
18.4,8.3862,297.16
18.47,8.3855,297.15
18.71,8.382,297.12
19.11,8.3947,297.12
19.7,8.3959,297.15
20.46,8.372,297.23
21.38,8.3916,297.31
22.4,8.3904,297.36
23.27,8.3948,297.36
23.27,8.3983,297.36
23.27,8.4031,297.36
23.27,8.3881,297.36
23.27,8.3779,297.36
23.27,8.3835,297.36
23.27,8.3894,297.36
23.27,8.3945,297.36
23.27,8.3845,297.36
23.27,8.3788,297.33
23.25,8.3969,297.17
23.24,8.3827,296.83
23.25,8.3808,296.31
23.29,8.396,295.59
23.37,8.3831,294.77
23.45,8.4093,293.8
23.53,8.4015,292.67
23.55,8.39,291.26
23.5,8.384,289.7
23.44,8.4018,287.92
23.38,8.3985,285.99
23.31,8.4151,283.86
23.23,8.4046,281.54
23.15,8.4169,279.03
23.06,8.4016,276.37
22.97,8.4188,273.69
22.89,8.4361,271.2
22.81,8.411,268.7
22.73,8.4195,266.2
22.64,8.418,263.67
22.56,8.436,261.18
22.48,8.4639,258.68
22.4,8.4899,256.2
22.32,8.5369,253.72
22.23,8.6657,251.27
22.14,8.8037,248.59
22.05,9.0272,245.9
21.96,9.3103,243.28
21.86,9.7281,240.66
21.74,10.3406,238.14
21.6,11.0856,235.67
21.44,11.9884,233.17
21.28,12.916,230.76
21.21,13.8453,228.38
21.28,14.7056,225.95
21.42,15.3406,223.51
21.59,15.8226,220.97
21.8,16.0583,218.5
21.97,16.1312,215.98
22.03,16.1086,213.45
21.99,16.0377,210.88
21.94,15.9835,208.32
21.9,15.8886,205.76
21.85,15.872,203.21
21.81,15.678,200.61
21.77,15.3949,198.04
21.75,14.9274,195.41
21.78,14.1871,192.82
21.85,13.3689,190.36
21.94,12.4886,188.0
22.02,11.6201,185.64
22.1,10.8022,183.29
22.17,10.0624,180.91
22.21,9.4374,178.52
22.24,8.9036,176.01
22.24,8.6486,173.44
22.21,8.6096,170.87
22.16,8.8013,168.42
22.07,9.22,165.77
21.97,9.6948,163.21
21.85,10.2778,160.67
21.71,10.8918,158.16
21.59,11.4478,155.65
21.48,11.9831,153.07
21.41,12.4445,150.69
21.39,12.7652,148.23
21.4,13.0511,145.76
21.46,13.2551,143.24
21.53,13.4123,140.73
21.63,13.4909,138.22
21.74,13.6224,135.69
21.85,13.6883,133.15
21.98,13.7309,130.61
22.12,13.7591,128.02
22.27,13.7435,125.42
22.35,13.7227,122.79
22.33,13.6752,120.27
22.27,13.629,117.76
22.21,13.5917,115.27
22.14,13.527,112.79
22.08,13.5148,110.3
22.0,13.4996,107.82
21.91,13.5419,105.33
21.81,13.6292,102.86
21.69,13.7235,100.42
21.56,13.862,97.99
21.4,14.0494,95.31
21.23,14.3138,92.87
21.09,14.5933,90.43
21.02,14.9306,88.0
21.04,15.326,85.56
21.07,15.6564,83.12
21.13,15.9288,80.62
21.22,16.1323,78.1
21.35,16.2664,75.59
21.49,16.3392,73.07
21.64,16.3815,70.57
21.8,16.3912,68.13
21.92,16.3743,65.66
21.93,16.3767,63.21
21.85,16.4247,60.55
21.74,16.4753,57.92
21.64,16.5276,55.29
21.55,16.5478,52.67
21.48,16.4717,50.13
21.45,16.2582,47.57
21.45,15.9598,45.03
21.49,15.5133,42.42
21.56,14.9598,40.02
21.66,14.2478,37.6
21.79,13.3113,35.24
21.93,12.1705,32.96
22.04,10.9417,30.72
22.07,9.8489,28.47
22.04,8.9264,25.97
22.01,8.3917,23.58
22.0,8.1094,21.03
21.99,7.9989,18.58
21.99,8.0069,16.04
21.98,7.9846,13.55
21.97,7.9965,10.96
21.96,7.9791,8.37
21.95,8.0014,5.81
21.94,7.9942,3.28
21.94,7.9856,2.38
21.94,7.9746,2.38
21.94,7.9737,2.38
21.94,7.983,2.38
21.94,7.9807,2.38
21.94,7.9806,2.38
21.94,7.973,2.38
21.94,7.9763,2.38
21.94,7.9671,2.38
22.06,7.993,2.4
22.35,7.9701,2.42
22.79,7.9727,2.42
23.44,7.9993,2.38
24.25,7.9982,2.32
25.25,7.9965,2.26
26.34,7.9864,2.25
27.01,7.9795,2.26
27.01,7.9705,2.26
27.01,7.9678,2.26
27.01,7.9906,2.26
27.01,8.0007,2.26
27.01,7.9915,2.26
27.01,7.9669,2.26
27.01,7.996,2.26
27.01,7.9672,2.32
27.0,7.9679,2.55
26.98,7.9772,2.96
26.95,7.9823,3.54
26.91,7.9889,4.3
26.86,7.986,5.24
26.81,7.989,6.35
26.74,7.9917,7.64
26.67,7.9898,9.11
26.59,7.9909,10.75
26.5,7.9866,12.57
26.4,7.9855,14.59
26.29,7.9681,16.8
26.17,8.0075,19.19
26.04,8.0662,21.76
25.91,8.3062,24.41
25.79,8.8415,27.08
25.72,9.72,29.59
25.7,10.8173,31.81
25.73,12.2036,34.13
25.75,13.5424,36.41
25.76,14.7282,38.76
25.74,15.6701,41.22
25.71,16.3134,43.62
25.68,16.7916,46.27
25.66,17.0613,48.96
25.65,17.1625,51.69
25.63,17.1364,54.42
25.62,17.0504,57.15
25.61,16.9557,59.87
25.6,16.9208,62.52
25.58,16.9515,65.13
25.57,17.0551,67.74
25.55,17.186,70.33
25.53,17.2671,72.92
25.52,17.3246,75.51
25.52,17.3103,78.09
25.53,17.1922,80.58
25.55,17.0289,83.05
25.58,16.7678,85.56
25.62,16.4112,88.14
25.68,16.0434,90.73
25.73,15.6913,93.37
25.77,15.3617,96.02
25.8,15.1335,98.66
25.82,14.9442,101.3
25.82,14.7929,103.97
25.82,14.7195,106.63
25.8,14.6503,109.33
25.78,14.6682,111.99
25.75,14.6964,114.6
25.71,14.7282,117.22
25.68,14.7551,119.77
25.64,14.7769,122.36
25.6,14.8523,124.95
25.55,14.9343,127.57
25.51,15.0283,130.16
25.47,15.0709,132.63
25.43,15.0975,135.11
25.4,15.1523,137.56
25.38,15.1605,140.0
25.36,15.1473,142.46
25.37,15.0782,144.91
25.41,14.9436,147.37
25.51,14.6701,149.89
25.68,14.2486,152.48
25.93,13.6882,155.09
26.18,12.9654,157.65
26.34,12.1461,160.14
26.36,11.3102,162.58
26.24,10.4806,164.98
26.09,9.7663,167.43
25.89,9.2796,169.95
25.71,9.0791,172.54
25.61,9.2616,175.06
25.57,9.739,177.52
25.6,10.4107,179.89
25.66,11.2765,182.36
25.69,12.1392,184.64
25.71,13.1242,187.08
25.74,14.0232,189.34
25.79,14.8734,191.83
25.88,15.5185,194.23
26.02,15.864,196.83
26.19,15.9607,199.36
26.37,15.9177,202.0
26.46,15.7802,204.69
26.43,15.6867,207.37
26.36,15.7081,210.01
26.3,15.8627,212.62
26.25,16.0322,215.13
26.2,16.2097,217.67
26.15,16.2673,220.24
26.09,16.0911,222.84
26.06,15.7261,225.28
26.06,15.0203,227.73
26.08,14.0632,230.23
26.12,13.1007,232.48
26.16,12.0497,234.92
26.19,11.0711,237.41
26.21,10.3291,239.92
26.22,9.7406,242.39
26.22,9.3595,244.83
26.22,9.0808,247.41
26.22,8.8571,249.96
26.22,8.6919,252.5
26.22,8.5753,254.99
26.21,8.5051,257.43
26.21,8.4493,260.08
26.2,8.4104,262.67
26.2,8.4246,265.24
26.2,8.4221,267.78
26.19,8.4203,270.31
26.19,8.4317,272.82
26.19,8.4362,275.31
26.18,8.421,277.77
26.18,8.4093,280.22
26.18,8.4037,282.65
26.17,8.3928,285.21
26.17,8.3955,287.75
26.17,8.4063,290.25
26.16,8.4147,292.73
26.16,8.3878,295.23
26.16,8.3976,297.29
26.16,8.3869,297.29
26.16,8.3775,297.29
26.16,8.3919,297.29
26.16,8.3811,297.29
26.16,8.3923,297.29
26.16,8.3758,297.29
26.16,8.3806,297.29
26.16,8.392,297.29
26.18,8.3749,297.29
26.36,8.3916,297.28
26.7,8.3884,297.27
27.2,8.3932,297.26
27.86,8.3975,297.24
28.68,8.4126,297.21
29.67,8.3899,297.18
30.82,8.3885,297.15
32.16,8.4128,297.11
32.43,8.4191,297.1
32.43,8.4143,297.1
32.43,8.4152,297.1
32.43,8.4021,297.1
32.43,8.3843,297.1
32.43,8.4021,297.1
32.43,8.4018,297.1
32.43,8.4004,297.1
32.43,8.3876,297.1
32.42,8.4078,297.03
32.37,8.4156,296.8
32.36,8.3903,296.38
32.42,8.4214,295.81
32.53,8.4142,295.04
32.67,8.4,294.09
32.75,8.4192,292.98
32.72,8.4006,291.76
32.56,8.4106,290.25
32.33,8.4039,288.61
32.14,8.4061,286.93
32.05,8.4229,285.05
32.13,8.4128,282.94
32.38,8.409,280.61
32.63,8.4281,278.07
32.75,8.4204,275.42
32.69,8.4241,272.8
32.49,8.4066,270.23
32.26,8.4307,267.67
32.02,8.4346,265.07
31.87,8.4434,262.44
31.89,8.4751,259.74
32.05,8.5382,257.31
32.31,8.6155,254.87
32.55,8.7504,252.43
32.66,8.9575,249.98
32.6,9.1848,247.53
32.4,9.5157,244.82
